Region,City,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Payment Mode,Year,Month,Sales_log
South,Bangalore,Books,Non-Fiction,2,36294,5,68958.6,Debit Card,2024,10,11.141276104856715
North,Delhi,Groceries,Rice,1,42165,20,33732.0,Debit Card,2025,8,10.426231865695646
East,Patna,Kitchen,Juicer,4,64876,20,207603.2,Credit Card,2023,11,12.243388661283095
East,Kolkata,Groceries,Oil,5,37320,15,158610.0,UPI,2025,5,11.974209942650443
West,Pune,Clothing,Kids Wear,1,50037,10,45033.3,Debit Card,2025,1,10.71517970063085
West,Pune,Furniture,Chair,5,40287,15,171219.75,Credit Card,2025,4,12.050708938616284
West,Mumbai,Clothing,Accessories,2,3636,5,6908.4,Debit Card,2023,10,8.840638082311541
North,Lucknow,Books,Biography,1,15885,10,14296.5,Debit Card,2025,8,9.567839975789472
North,Jaipur,Groceries,Spices,1,40834,20,32667.2,Credit Card,2025,3,10.39415740665852
West,Goa,Kitchen,Juicer,2,16686,15,28366.2,UPI,2024,12,10.252988827126718
North,Lucknow,Kitchen,Cookware Set,2,10761,20,17217.6,Credit Card,2025,8,9.753745473863624
South,Hyderabad,Beauty,Perfume,3,27066,10,73078.2,Net Banking,2024,5,11.199299063524526
North,Chandigarh,Home Decor,Vase,1,53951,5,51253.45,Credit Card,2024,12,10.844557722499504
East,Patna,Clothing,Women's Wear,5,23843,0,119215.0,UPI,2023,12,11.688692252793508
North,Jaipur,Kitchen,Juicer,2,15444,5,29343.6,COD,2025,7,10.286863821957294
East,Bhubaneswar,Electronics,Laptop,5,51645,10,232402.5,Debit Card,2023,10,12.356230364087454
South,Hyderabad,Electronics,Smartwatch,3,52691,15,134362.05,UPI,2024,5,11.808300743676979
South,Chennai,Groceries,Oil,4,3775,10,13590.0,Net Banking,2025,9,9.517163087955348
East,Patna,Sports,Dumbbells,3,16579,20,39789.6,Credit Card,2024,6,10.591385982472904
West,Pune,Books,Textbook,5,36393,5,172866.75,Debit Card,2024,1,12.060282130271304
West,Ahmedabad,Kitchen,Refrigerator,1,6574,20,5259.2,UPI,2023,10,8.567924327822595
North,Lucknow,Groceries,Wheat,5,26762,15,113738.5,Credit Card,2024,3,11.641666024860273
West,Surat,Books,Comics,1,47699,20,38159.2,UPI,2023,11,10.549548366638636
East,Ranchi,Beauty,Face Cream,1,28257,10,25431.3,Credit Card,2025,7,10.14377529868338
North,Chandigarh,Electronics,Headphones,5,24056,20,96224.0,COD,2025,6,11.474444478151947
South,Chennai,Groceries,Rice,2,65756,5,124936.4,UPI,2024,1,11.735568090842236
North,Lucknow,Beauty,Foundation,1,8276,0,8276.0,Net Banking,2025,4,9.021235862885396
East,Bhubaneswar,Furniture,Table,3,731,0,2193.0,UPI,2024,12,7.693481640835175
North,Delhi,Toys,RC Car,2,67085,20,107336.0,Net Banking,2025,8,11.583728696765629
North,Chandigarh,Groceries,Sugar,5,79453,15,337675.25,Debit Card,2024,4,12.729842875206373
West,Goa,Groceries,Wheat,2,25545,10,45981.0,Credit Card,2025,1,10.736005294543881
North,Jaipur,Sports,Cricket Bat,4,76643,5,291243.4,UPI,2023,12,12.581918056209386
West,Ahmedabad,Furniture,Sofa,4,60561,20,193795.2,Net Banking,2024,6,12.174562370403429
East,Guwahati,Toys,RC Car,4,19080,20,61056.0,Debit Card,2025,7,11.019563133080542
South,Thiruvananthapuram,Toys,Action Figure,2,48271,20,77233.6,Net Banking,2023,12,11.254602822135782
South,Thiruvananthapuram,Beauty,Lipstick,4,7232,15,24588.8,Credit Card,2025,3,10.110087001789607
West,Surat,Sports,Dumbbells,2,78467,0,156934.0,Credit Card,2024,12,11.963586985864655
North,Lucknow,Sports,Yoga Mat,4,34124,5,129671.2,UPI,2023,10,11.772765006543835
East,Ranchi,Toys,Puzzle,2,60907,0,121814.0,COD,2025,9,11.71025877938462
North,Lucknow,Kitchen,Refrigerator,5,9102,10,40959.0,Debit Card,2023,11,10.62035125971339
East,Guwahati,Toys,Board Game,5,76782,20,307128.0,UPI,2024,9,12.635023133751693
North,Amritsar,Toys,Doll,5,57559,5,273405.25,Debit Card,2025,7,12.518714063288675
West,Surat,Electronics,Camera,2,68630,0,137260.0,Net Banking,2024,2,11.82963950187977
South,Coimbatore,Groceries,Rice,5,64105,20,256420.0,Net Banking,2024,10,12.454575903950893
East,Guwahati,Books,Textbook,2,68202,0,136404.0,Debit Card,2023,11,11.823383680611148
West,Pune,Books,Biography,1,36207,15,30775.95,COD,2023,11,10.334521312164712
North,Delhi,Beauty,Perfume,3,55843,10,150776.1,Credit Card,2025,10,11.923557866260662
West,Surat,Sports,Tennis Racket,5,60512,5,287432.0,Credit Card,2025,9,12.56874506858243
North,Delhi,Toys,Puzzle,1,70834,10,63750.6,UPI,2025,1,11.062749560744937
West,Ahmedabad,Clothing,Shoes,1,33485,0,33485.0,COD,2024,4,10.418882720016489
East,Patna,Beauty,Perfume,5,8568,5,40698.0,UPI,2024,5,10.613958801104268
East,Ranchi,Furniture,Sofa,4,64645,5,245651.0,UPI,2025,5,12.411671179228621
West,Goa,Books,Biography,5,12976,0,64880.0,COD,2025,9,11.080310101740798
West,Pune,Clothing,Women's Wear,3,27698,20,66475.2,UPI,2024,4,11.104599267847497
East,Bhubaneswar,Sports,Tennis Racket,2,28261,15,48043.7,Debit Card,2023,12,10.779887106545761
North,Jaipur,Furniture,Bed,5,42462,0,212310.0,Net Banking,2024,5,12.265807459820579
East,Patna,Home Decor,Wall Art,4,62926,0,251704.0,Credit Card,2023,12,12.436013045844657
East,Patna,Toys,Puzzle,4,73473,15,249808.2,Net Banking,2024,10,12.428452705458998
West,Pune,Furniture,Cabinet,3,29226,15,74526.3,Net Banking,2024,10,11.21892078019685
West,Mumbai,Home Decor,Vase,2,9860,10,17748.0,Credit Card,2025,5,9.784084455288346
West,Ahmedabad,Sports,Football,5,17665,0,88325.0,UPI,2025,4,11.388789793986069
South,Chennai,Kitchen,Cookware Set,2,13751,15,23376.7,Debit Card,2024,4,10.05953785550774
West,Pune,Kitchen,Juicer,5,11226,10,50517.0,Debit Card,2025,1,10.830084987398923
West,Pune,Toys,Action Figure,4,70618,5,268348.4,COD,2023,12,12.500045141716505
South,Bangalore,Books,Biography,3,37492,15,95604.6,UPI,2024,6,11.467986674729762
North,Chandigarh,Kitchen,Juicer,2,34997,0,69994.0,COD,2024,6,11.156179089908926
West,Surat,Kitchen,Mixer Grinder,2,71572,10,128829.6,Credit Card,2025,5,11.766253642075043
West,Goa,Books,Biography,5,38936,5,184946.0,COD,2024,2,12.127824576528882
East,Bhubaneswar,Home Decor,Vase,1,19506,0,19506.0,Net Banking,2023,11,9.878528654494932
East,Ranchi,Sports,Tennis Racket,5,48227,10,217021.5,UPI,2025,1,12.287756313783454
South,Bangalore,Sports,Tennis Racket,3,2697,5,7686.45,Net Banking,2024,8,8.94734440802858
East,Ranchi,Toys,RC Car,4,47678,20,152569.6,Debit Card,2025,6,11.935382718720607
North,Chandigarh,Home Decor,Cushion,1,39545,15,33613.25,COD,2025,4,10.422705363186138
West,Pune,Toys,Puzzle,5,60787,15,258344.75,Credit Card,2024,3,12.462054083028441
North,Amritsar,Toys,Action Figure,1,26035,20,20828.0,Net Banking,2024,12,9.944101525421383
West,Ahmedabad,Clothing,Kids Wear,5,41865,10,188392.5,COD,2025,1,12.146288139467654
North,Lucknow,Kitchen,Cookware Set,4,76576,10,275673.6,Net Banking,2025,3,12.526976463641878
South,Bangalore,Electronics,Camera,2,33749,20,53998.4,COD,2024,4,10.89672821437357
West,Pune,Kitchen,Refrigerator,4,46014,15,156447.6,UPI,2024,7,11.960482800511128
West,Surat,Beauty,Lipstick,5,55423,10,249403.5,Debit Card,2025,2,12.426831355369224
South,Coimbatore,Furniture,Cabinet,5,5463,5,25949.25,Debit Card,2023,12,10.163936522458997
South,Hyderabad,Sports,Yoga Mat,1,4714,0,4714.0,COD,2024,12,8.458504195067558
East,Ranchi,Sports,Tennis Racket,4,31170,10,112212.0,Debit Card,2025,6,11.628154129886587
West,Goa,Home Decor,Vase,1,8927,20,7141.6,COD,2024,7,8.873832134706955
East,Bhubaneswar,Furniture,Cabinet,1,16256,5,15443.2,Credit Card,2024,11,9.644988807313226
East,Guwahati,Toys,Board Game,2,22240,0,44480.0,UPI,2025,6,10.702817410686135
West,Goa,Groceries,Oil,3,62172,0,186516.0,Debit Card,2024,3,12.136277666726855
North,Lucknow,Sports,Tennis Racket,5,39458,5,187425.5,COD,2023,11,12.141142047540518
South,Thiruvananthapuram,Books,Comics,4,34376,5,130628.8,Net Banking,2024,12,11.780122647437564
West,Mumbai,Clothing,Kids Wear,4,53084,15,180485.6,Credit Card,2025,2,12.103411815772132
East,Guwahati,Beauty,Lipstick,3,60656,0,181968.0,Debit Card,2025,6,12.111591621880857
North,Chandigarh,Electronics,Camera,1,73564,15,62529.4,Credit Card,2025,1,11.043408117470356
East,Patna,Furniture,Sofa,5,26060,5,123785.0,UPI,2025,1,11.726309547216001
South,Hyderabad,Beauty,Perfume,4,72702,5,276267.6,Debit Card,2025,1,12.529128859864258
East,Patna,Electronics,Camera,2,40818,20,65308.8,UPI,2024,1,11.08689738057384
West,Pune,Groceries,Spices,3,24183,0,72549.0,Credit Card,2024,5,11.192031258312333
East,Patna,Groceries,Oil,4,19526,15,66388.4,Credit Card,2024,10,11.103292684166718
West,Mumbai,Books,Fiction,5,54037,0,270185.0,Net Banking,2023,11,12.50686588969437
South,Thiruvananthapuram,Sports,Yoga Mat,5,63813,0,319065.0,Credit Card,2024,2,12.673153256918566
North,Lucknow,Electronics,Mobile,3,74680,10,201636.0,Credit Card,2023,12,12.214224330085491
South,Coimbatore,Clothing,Accessories,4,13189,10,47480.4,Net Banking,2025,6,10.768093334388308
East,Bhubaneswar,Sports,Dumbbells,4,1138,10,4096.8,Credit Card,2024,11,8.318205523313098
East,Ranchi,Furniture,Sofa,5,76226,20,304904.0,Credit Card,2025,8,12.627755531661172
West,Surat,Toys,Doll,3,31343,15,79924.65,Net Banking,2025,2,11.288852106519307
North,Lucknow,Home Decor,Lamp,4,61338,15,208549.2,Net Banking,2023,11,12.247935058627268
West,Mumbai,Furniture,Table,1,8623,20,6898.4,Debit Card,2024,5,8.839189730282675
South,Chennai,Sports,Dumbbells,3,41142,5,117254.7,Net Banking,2024,10,11.672112299199394
South,Coimbatore,Clothing,Kids Wear,5,13088,10,58896.0,Debit Card,2024,6,10.983545434556431
North,Jaipur,Furniture,Bed,1,44965,10,40468.5,Debit Card,2024,9,10.60830388296285
West,Goa,Toys,RC Car,4,28822,10,103759.2,Net Banking,2025,1,11.549837746513525
North,Amritsar,Electronics,Camera,2,30299,10,54538.2,Credit Card,2024,10,10.906674988158521
North,Chandigarh,Kitchen,Microwave,2,44595,20,71352.0,Net Banking,2024,4,11.17539466827194
South,Coimbatore,Furniture,Table,3,32301,20,77522.4,Net Banking,2023,10,11.258335105251964
South,Bangalore,Home Decor,Cushion,3,78217,0,234651.0,COD,2023,11,12.365858844518863
South,Chennai,Toys,Board Game,5,19154,15,81404.5,COD,2024,11,11.307198117275615
West,Pune,Kitchen,Juicer,4,25790,20,82528.0,Debit Card,2025,5,11.320905025707312
East,Kolkata,Beauty,Lipstick,3,78010,10,210627.0,UPI,2024,5,12.25784882331077
East,Ranchi,Kitchen,Microwave,4,8753,5,33261.4,UPI,2025,1,10.41218290889285
West,Surat,Kitchen,Microwave,5,49477,20,197908.0,Credit Card,2024,9,12.195562608070482
South,Coimbatore,Sports,Yoga Mat,1,54160,15,46036.0,COD,2025,1,10.737200699982965
South,Thiruvananthapuram,Sports,Football,2,58592,5,111324.8,Debit Card,2025,5,11.620216316330712
South,Hyderabad,Electronics,Laptop,1,6284,0,6284.0,Debit Card,2025,4,8.745921121024347
North,Delhi,Groceries,Spices,4,79276,20,253683.2,UPI,2025,6,12.443845465366566
North,Jaipur,Clothing,Shoes,3,22072,20,52972.8,Net Banking,2024,12,10.877552730685503
North,Lucknow,Kitchen,Juicer,1,61175,15,51998.75,Debit Card,2024,11,10.8589941898597
East,Patna,Books,Fiction,3,53034,15,135236.7,Net Banking,2024,6,11.814789249874485
North,Lucknow,Groceries,Oil,3,20304,10,54820.8,UPI,2025,2,10.911843204049578
West,Ahmedabad,Home Decor,Cushion,3,19607,0,58821.0,UPI,2024,11,10.982271213570051
North,Jaipur,Furniture,Table,1,26827,10,24144.3,Credit Card,2025,7,10.091845023163152
South,Bangalore,Groceries,Spices,5,31262,15,132863.5,Credit Card,2024,3,11.797085090884998
South,Hyderabad,Electronics,Headphones,4,61765,5,234707.0,Net Banking,2024,7,12.366097467325519
East,Patna,Clothing,Women's Wear,4,2962,20,9478.4,Credit Card,2024,8,9.156876302106859
East,Kolkata,Toys,Puzzle,3,17679,15,45081.45,UPI,2024,8,10.71624831450301
North,Chandigarh,Furniture,Sofa,1,79310,15,67413.5,UPI,2024,1,11.118615407293657
South,Chennai,Electronics,Camera,4,33270,5,126426.0,Debit Card,2024,8,11.747420345478977
West,Mumbai,Toys,Doll,3,35928,5,102394.8,Debit Card,2024,3,11.536600975121381
East,Kolkata,Toys,Board Game,1,62438,5,59316.1,UPI,2025,3,10.990652907666416
West,Surat,Furniture,Bed,4,41162,0,164648.0,Debit Card,2024,10,12.011571214296847
East,Guwahati,Electronics,Mobile,4,78576,5,298588.8,Credit Card,2025,1,12.606826004093199
East,Patna,Books,Non-Fiction,3,38456,5,109599.6,Debit Card,2025,8,11.604598127933622
South,Hyderabad,Clothing,Kids Wear,1,51518,10,46366.2,UPI,2024,9,10.744347591693446
North,Delhi,Electronics,Mobile,3,25964,0,77892.0,COD,2023,12,11.263091369027972
East,Patna,Furniture,Cabinet,5,38240,5,181640.0,Debit Card,2024,4,12.10978749059202
South,Hyderabad,Sports,Tennis Racket,2,40778,0,81556.0,COD,2024,4,11.309057441275254
East,Bhubaneswar,Sports,Football,5,22147,5,105198.25,UPI,2024,8,11.563611449982767
South,Chennai,Furniture,Table,1,48776,15,41459.6,UPI,2024,11,10.632498857665084
West,Ahmedabad,Electronics,Smartwatch,2,74802,15,127163.4,Net Banking,2024,1,11.753236016502225
North,Delhi,Kitchen,Mixer Grinder,1,77440,20,61952.0,UPI,2024,1,11.034131312034901
East,Ranchi,Kitchen,Juicer,1,42881,5,40736.95,Net Banking,2024,6,10.614915369418037
West,Surat,Books,Non-Fiction,4,11205,10,40338.0,UPI,2024,3,10.605074021909918
North,Jaipur,Toys,Puzzle,4,67259,5,255584.2,UPI,2025,8,12.45131109683568
South,Coimbatore,Groceries,Spices,3,21886,10,59092.2,Net Banking,2025,8,10.986871137552711
North,Jaipur,Kitchen,Microwave,3,8844,0,26532.0,UPI,2025,7,10.186144520271382
West,Goa,Kitchen,Cookware Set,3,32484,5,92579.4,COD,2023,12,11.435832735163528
North,Jaipur,Home Decor,Clock,2,26027,5,49451.3,UPI,2023,12,10.808763847597133
West,Surat,Beauty,Foundation,4,43826,5,166538.8,Credit Card,2024,12,12.022989598876395
East,Patna,Toys,Action Figure,1,39221,15,33337.85,Debit Card,2024,4,10.414478662608504
North,Lucknow,Toys,RC Car,1,54312,0,54312.0,Net Banking,2025,2,10.902518887949263
East,Ranchi,Clothing,Kids Wear,1,15748,0,15748.0,COD,2025,6,9.664532150174582
West,Pune,Electronics,Headphones,2,68044,10,122479.2,COD,2024,7,11.715704663249893
West,Pune,Home Decor,Clock,5,8465,0,42325.0,COD,2025,9,10.653156833420399
East,Patna,Furniture,Sofa,1,63767,20,51013.6,COD,2024,7,10.839867145247538
East,Patna,Books,Biography,5,43178,0,215890.0,Credit Card,2024,9,12.28252892966829
South,Hyderabad,Kitchen,Juicer,5,44801,15,190404.25,UPI,2024,6,12.156909974488672
North,Amritsar,Home Decor,Cushion,4,71174,5,270461.2,Credit Card,2025,8,12.507887626283996
West,Surat,Books,Comics,2,56852,5,108018.8,Debit Card,2025,9,11.590069822636188
West,Pune,Furniture,Table,3,8167,15,20825.85,Net Banking,2025,4,9.943998298623615
West,Goa,Sports,Dumbbells,2,59433,10,106979.4,Credit Card,2024,4,11.58040091909489
South,Bangalore,Groceries,Wheat,3,42341,0,127023.0,COD,2024,3,11.752131323964894
North,Lucknow,Sports,Tennis Racket,5,23230,10,104535.0,Debit Card,2025,7,11.557286788668982
East,Guwahati,Sports,Football,3,39790,0,119370.0,Debit Card,2024,6,11.689991569368228
North,Delhi,Kitchen,Mixer Grinder,3,15794,15,40274.7,Net Banking,2024,10,10.603503588403136
South,Hyderabad,Clothing,Men's Wear,1,10635,0,10635.0,UPI,2025,1,9.27199975236291
East,Patna,Toys,Action Figure,1,64954,10,58458.6,COD,2025,4,10.976091196356505
East,Guwahati,Furniture,Bed,1,47269,20,37815.2,Net Banking,2024,9,10.540492861225747
North,Jaipur,Beauty,Face Cream,5,21181,15,90019.25,Credit Card,2023,12,11.407789924003698
North,Jaipur,Electronics,Camera,2,40371,0,80742.0,Debit Card,2024,6,11.299026550020839
West,Ahmedabad,Toys,Board Game,5,18936,10,85212.0,Debit Card,2024,11,11.352909283337558
East,Kolkata,Furniture,Cabinet,1,44366,20,35492.8,UPI,2024,10,10.477113312323466
West,Mumbai,Books,Biography,1,54330,0,54330.0,UPI,2025,3,10.90285024541336
South,Chennai,Groceries,Oil,4,27952,20,89446.4,COD,2024,8,11.401406021996818
South,Thiruvananthapuram,Clothing,Accessories,5,10007,0,50035.0,UPI,2024,8,10.820498025334633
