Order ID,Order Date,Region,City,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode,Year,Month,Month_Name,Profit_Margin
10001,2024-10-19,South,Bangalore,Books,Non-Fiction,2,36294,5,68958.6,10525.09,Debit Card,2024,10,October,0.1526291137001041
10002,2025-08-30,North,Delhi,Groceries,Rice,1,42165,20,33732.0,6299.66,Debit Card,2025,8,August,0.18675619589707101
10003,2023-11-04,East,Patna,Kitchen,Juicer,4,64876,20,207603.2,19850.27,Credit Card,2023,11,November,0.09561639704975645
10004,2025-05-23,East,Kolkata,Groceries,Oil,5,37320,15,158610.0,36311.02,UPI,2025,5,May,0.22893272807515286
10005,2025-01-19,West,Pune,Clothing,Kids Wear,1,50037,10,45033.3,9050.04,Debit Card,2025,1,January,0.20096328716749606
10006,2025-04-06,West,Pune,Furniture,Chair,5,40287,15,171219.75,23722.84,Credit Card,2025,4,April,0.13855200699685638
10007,2023-10-13,West,Mumbai,Clothing,Accessories,2,3636,5,6908.4,680.26,Debit Card,2023,10,October,0.09846853106363268
10008,2025-08-17,North,Lucknow,Books,Biography,1,15885,10,14296.5,1289.03,Debit Card,2025,8,August,0.09016402616024902
10009,2025-03-07,North,Jaipur,Groceries,Spices,1,40834,20,32667.2,3700.89,Credit Card,2025,3,March,0.11329070137630405
10010,2024-12-02,West,Goa,Kitchen,Juicer,2,16686,15,28366.2,5703.09,UPI,2024,12,December,0.2010523087336337
10011,2025-08-24,North,Lucknow,Kitchen,Cookware Set,2,10761,20,17217.6,4139.82,Credit Card,2025,8,August,0.24044117647058824
10012,2024-05-21,South,Hyderabad,Beauty,Perfume,3,27066,10,73078.2,16216.55,Net Banking,2024,5,May,0.2219068066810622
10013,2024-12-05,North,Chandigarh,Home Decor,Vase,1,53951,5,51253.45,6826.05,Credit Card,2024,12,December,0.1331822540726527
10014,2023-12-03,East,Patna,Clothing,Women's Wear,5,23843,0,119215.0,21029.48,UPI,2023,12,December,0.17639961414251562
10015,2025-07-25,North,Jaipur,Kitchen,Juicer,2,15444,5,29343.6,5535.44,COD,2025,7,July,0.1886421570632097
10016,2023-10-13,East,Bhubaneswar,Electronics,Laptop,5,51645,10,232402.5,35657.72,Debit Card,2023,10,October,0.15343087961618312
10017,2024-05-24,South,Hyderabad,Electronics,Smartwatch,3,52691,15,134362.05,26225.16,UPI,2024,5,May,0.19518279156949453
10018,2025-09-07,South,Chennai,Groceries,Oil,4,3775,10,13590.0,1234.71,Net Banking,2025,9,September,0.09085430463576159
10019,2024-06-15,East,Patna,Sports,Dumbbells,3,16579,20,39789.6,4240.62,Credit Card,2024,6,June,0.10657609023463417
